market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,percentile,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
"'marketing', 'startups'",'web app',Privately,Sourced by Startup Tracker,16 Oct 20,~648,5-10,'Watch Tower',Pre,"'b2b', 'subscription'",2,9,Self,https://watchtowerhq.co?ref=startuptracker,'We help agency operators streamline and gain additional insights into their websites.','WatchTowerHQ',March 1 2020,Boston US,https://www.crunchbase.com/organization/watchtowerhq,7.1m
"'communication', 'productivity', 'security'","'mobile app', 'web app'",Publicly,Low company activity detected,16 Oct 20,~2.2k,1,'nullbox',Pre,"'b2c', 'subscription'",2.1m,9,Self,https://nullbox.co?ref=startuptracker,'NullBox is an email privacy service that protects the privacy of your inbox with disposable email addresses.','NullBox',April 9 2020,Raleigh US,https://startuptracker.io,2.1m
"'advertising', 'design', 'marketing'",'web app',Publicly,High company activity detected,13 Oct 20,~4.1k,5-10,'Email2Go',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",33,9,Undisclosed,https://email2go.io?ref=startuptracker,'HTML email builder and preview tool','Email2Go',January 15 2020,New York US,https://producthunt.com/posts/email2go,1.1m
"'education', 'productivity', 'startups'","'mobile app', 'service'",Privately,Low company activity detected,12 Oct 20,~678,5-10,"'Nishant', 'DigsFact', 'DigsFact LLC'",Post,"'b2c', 'b2g', 'commission'",27,9,Undisclosed,https://kNEEBU.com?ref=startuptracker,'kNEEBU brings in person and remote services to your doorsteps. Beta release scheduled in October 2020.','kNEEBU',September 27 2018,Chicago US,https://www.crunchbase.com/organization/kneebu-llc,6.8m
"'analytics', 'marketing', 'social networks', 'ai'","'mobile app', 'web app'",Publicly,Low company activity detected,6 Oct 20,~1k,5-10,'Smartbate',Pre,"'b2c', 'subscription'",4,9,Undisclosed,https://smartbate.com?ref=startuptracker,'Smartbate is a platform for users to vote and create polls on issues that matter to them.','Smartbate',May 31 2020,San Francisco US,https://www.crunchbase.com/organization/smartbate,4.6m
"'startups', 'bots', 'messaging', 'sales'",'web app',Publicly,High company activity detected,26 Sep 20,~3k,2,'Ryan Hitchler',Pre,"'b2b', 'subscription'",57,9,Undisclosed,https://www.centro.rocks/#startuptracker?ref=startuptracker,'Centro is a shared inbox and Salesforce connector for revenue teams to thrive in Slack','Centro',February 20 2020,Boulder US,https://crunchbase.com/organization/centro-b1a7,1.5m
"'advertising', 'analytics', 'marketing', 'hr and recruitment'",'web app',Publicly,No recent company activity detected,24 Sep 20,0,11-50,'tribe',Pre,"'free to use', 'advertising', 'freemium', 'subscription'",37,9,Undisclosed,http://www.workwithtribe.com?ref=startuptracker,"""TRIBE is a global platform that matches businesses to the world's top digital marketing talent, teams, and tools.""",'TRIBE',January 1 2020,Washington DC US,https://crunchbase.com/organization/tribe-25da,0
'travel',"'mobile app', 'web app'",Privately,Low company activity detected,22 Sep 20,~2.8k,4,'Malcolm Woods',Pre,"'b2c', 'b2b', 'commission', 'subscription'",23,9,Undisclosed,http://fareupthere.com/?ref=startuptracker,'FareUpThere is airline passenger insights company that rewards passengers for sharing their feedback on flights.','FareUpThere',February 22 2020,Houston US,https://www.crunchbase.com/organization/fareupthere,1.7m
"'marketing', 'social networks', 'startups', 'content'","'other', 'service'",Publicly,High company activity detected,13 Sep 20,~5.6k,1,'Bryan Grey',Pre,"'b2b', 'advertising', 'affiliation'",34,9,Undisclosed,https://www.officialbryangrey.com?ref=startuptracker,'Bryan Grey provides blog monetization tips for beginner bloggers who wish to grow their blogs and make money online.','Bryan Grey',September 4 2018,Illinois US,https://crunchbase.com/organization/officialbryangrey,835.1k
"'automotive', 'marketing', 'sales', 'real estate'","'mobile app', 'web app'",Publicly,Sourced by Startup Tracker,17 Aug 20,~6.5k,5-10,'GoCRM',Post,"'b2b', 'subscription'",6,9,Undisclosed,https://gocrm.io/?ref=startuptracker,'CRM solution that takes on a full-funnel sales and marketing approach.','GoCRM',March 1 2019,Texas US,https://www.crunchbase.com/organization/gocrm,725.4k
"'advertising', 'e commerce', 'social networks', 'ai'","'mobile app', 'web app'",Publicly,High company activity detected,9 Aug 20,~2.2k,11-50,'David Wilmot',Pre,"'b2c', 'b2b', 'free to use', 'commission'",1.7k,9,$795k,https://tuli.com/?ref=startuptracker,"'The first Native Social Shopping Platform for merchants, influencers and shoppers.'","'Tuli Technologies, Inc.'",August 1 2018,San Clemente US,https://crunchbase.com/organization/tuli-technologies,2.1m
"'health', 'productivity', 'hr and recruitment', 'startups'","'service', 'web app'",Publicly,No recent company activity detected,6 Aug 20,~2.1k,1,'Fahim Karim',Pre,"'b2b', 'freemium'",36,9,Undisclosed,https://trykarl.com?ref=startuptracker,"'Karl is the perfect way to spread positivity by giving kudos, shout outs, or heaping praise for employees who go above & beyond.'",'Karl (prev KudosBot)',August 31 2019,Seattle US,https://crunchbase.com/organization/kudosbot,2.3m
"'advertising', 'consulting', 'marketing'","'service', 'web app'",Publicly,High company activity detected,2 Aug 20,~3k,11-50,'poolmarketing',Post,"'b2c', 'advertising', 'sales', 'subscription'",1.8k,9,$350k,https://www.poolmarketing.com?ref=startuptracker,'Pool Marketing provides best-in-class Digital Marketing solutions for Pool Builders & Pool Service companies.','Pool Marketing',February 1 2020,Sacramento US,https://www.crunchbase.com/organization/pool-marketing,1.6m
"'design', 'blockchain'",'web app',Publicly,High company activity detected,21 Jul 20,238,1,'Alex Edmonds🎙️',Pre,"'b2c', 'affiliation'",238,9,Undisclosed,http://alertsforbtc.com?ref=startuptracker,'Browser Push Notification for bitcoin','alertsforbtc.com',January 26 2018,San Jose US,https://producthunt.com/posts/alertsforbtc-com,0
"'education', 'ai', 'big data', 'bots'","'mobile app', 'web app'",Publicly,Sourced by Startup Tracker,17 Jul 20,~979,11-50,'Memorize',Post,"'b2c', 'sales'",1,9,Undisclosed,https://memorize.tech?ref=startuptracker,'Memorize: Learn New Words with Flashcards','Memorize',February 29 2020,LA US,https://betalist.com/startups/memorize,4.7m
'other','web app',Publicly,Sourced by Startup Tracker,16 Jul 20,~10.1k,11-50,'Cenports Commerce',Pre,"'b2b', 'subscription'",3,9,Undisclosed,https://www.cenports.com?ref=startuptracker,'Enabling eCommerce for all','Cenports',November 17 2017,Hayward US,https://crunchbase.com/organization/cenports-commerce,468.5k
"'e commerce', 'finance', 'software dev', 'hospitality'","'mobile app', 'service', 'web app'",Privately,No recent company activity detected,13 Jul 20,~16.8k,51-100,'Fortunesoft',Pre,"'b2b', 'other'",34,9,Undisclosed,https://www.fortunesoftit.com/?ref=startuptracker,'Web and Mobile app Development Company',"'Fortunesoft IT Innovations, Inc'",December 31 2008,Nashville US,https://crunchbase.com/organization/fortunesoft-it-innovations-inc,281.8k
'finance',"'service', 'web app'",Publicly,High company activity detected,4 Jul 20,~62.6k,5-10,'Keeper Tax - Automatic Tax Savings for Gig Workers',Pre,"'b2c', 'b2b', 'subscription'",130,9,Undisclosed,https://keepertax.com?ref=startuptracker,'Keeper automatically finds tax write offs among your bank statements for $10 per month.','Keeper Tax',January 1 2018,San Francisco US,https://www.crunchbase.com/organization/keeper-tax,76.6k
"'education', 'governmental', 'security', 'accounting and legal'","'mobile app', 'service'",Privately,High company activity detected,29 Jun 20,~4.9k,4,"""Wa'il Ashshowwaf"", 'Stuck in the Sand', 'Rooam'",Pre,"'b2c', 'b2b', 'b2g', 'non profit', 'free to use', 'advertising', 'affiliation', 'subscription'",599,9,$100k,https://www.reyets.com?ref=startuptracker,'Live Recording & Your Rights in one Click','Reyets',June 13 2017,Washington US,https://www.crunchbase.com/organization/reyets,954.5k
"'analytics', 'data', 'marketing', 'ai'",'web app',Publicly,Low company activity detected,24 Jun 20,~1.3k,3,"'Kirill Rebrov', 'Natalia Tsvetkova'",Post,"'b2b', 'subscription'",14,9,Undisclosed,https://demografy.com?ref=startuptracker,'Privacy by design customer segmentation AI platform that predicts demographics from names providing full coverage and accuracy estimate','Demografy',August 31 2018,Lithia US,https://crunchbase.com/organization/demografy,3.6m
"'finance', 'productivity', 'startups', 'software dev'","'mobile app', 'service'",Publicly,Low company activity detected,21 Jun 20,9,2,'Basam',Post,"'b2c', 'subscription'",9,9,Undisclosed,https://bankfolio.app/?ref=startuptracker,'BankFolio helps people save time and money by showing them all their account balances and transactions in one place.','BankFolio',January 21 2020,Tempe US,https://producthunt.com/posts/bankfolio,0
'productivity','web app',Privately,Low company activity detected,12 Jun 20,~2.3k,1,'Trevor Lohrbeer',Post,"'b2c', 'b2b', 'subscription'",24,9,Undisclosed,https://dayoptimizer.com/?ref=startuptracker,"'Helps freelancers limit procrastination, increase focus & improve work-life balance by converting their to-do list into a daily schedule'",'Day Optimizer',May 21 2018,Asheville US,https://crunchbase.com/organization/day-optimizer,2m
"'security', 'startups', 'big data', 'software dev'",'web app',Publicly,High company activity detected,10 Jun 20,~1.3k,4,"'Mark Milbourne', 'Tallie'",Pre,"'b2b', 'subscription'",3.7m,9,Undisclosed,https://www.cloudycosts.com?ref=startuptracker,'Cloudycosts helps companies save on cloud computing costs.','CloudyCosts',January 1 2020,Walnut Creek US,https://startuptracker.io,3.7m
'startups',"'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,7 Jun 20,~237.1k,51-100,'Time Doctor',Pre,"'b2b', 'freemium'",6.6k,9,Self,http://www.timedoctor.com?ref=startuptracker,'Time Doctor is an employee time tracking software that helps you and your team get a lot more done each day.','Time Doctor',January 31 2012,Delaware US,https://www.crunchbase.com/organization/time-doctor,20.4k
"'other', 'biotech', 'health', 'medical'",'service',Publicly,High company activity detected,4 Jun 20,0,11-50,'mHospital',Pre,"'other', 'b2c', 'commission'",9,9,Undisclosed,https://m-hospital.com/?ref=startuptracker,'On-demand healthcare service enabling patients and doctors to connect via mobile app.','mHospital',September 27 2017,Torrance US,https://www.crunchbase.com/organization/mhospital,0
"'marketing', 'sales'",'desktop app',Publicly,High company activity detected,2 Jun 20,~47.2k,11-50,"'Postal.io', 'TextRecruit'",Pre,"'b2c', 'b2b', 'free to use', 'subscription'",431,9,$9m,https://postal.io/?ref=startuptracker,'Automated direct mail and gifting that integrates into sales and marketing workflows','Postal',September 1 2019,San Luis Obispo US,https://crunchbase.com/organization/postal-io,101.4k
"'analytics', 'ai'",'web app',Publicly,High company activity detected,1 Jun 20,~11.1k,5-10,'Kirill',Pre,"'b2b', 'subscription'",37,9,$250k,https://datrics.ai?ref=startuptracker,'A drag and drop AI platform','Datrics',May 19 2019,Middletown US,https://crunchbase.com/organization/datrics,426.9k
"'biotech', 'health', 'ai', 'big data'","'service', 'web app'",Publicly,High company activity detected,26 May 20,~7.3k,11-50,'MediFind',Pre,"'b2c', 'b2b', 'free to use', 'freemium'",80,9,Undisclosed,https://medifind.com?ref=startuptracker,"""The world's most advanced platform for helping patients find better care, faster.""",'MediFind',February 29 2020,Philadelphia US,https://crunchbase.com/organization/medifind,649.2k
"'social networks', 'startups'","'desktop app', 'web app'",Publicly,No recent company activity detected,25 May 20,0,2,'Sportlo',Pre,"'b2c', 'free to use'",669,9,Self,https://sportlo.com/?ref=startuptracker,'Sportlo is the local sports parent hub that allows users to stay connected with their youth sports community.','Sportlo',May 25 2019,Houston US,https://crunchbase.com/organization/sportlo,0
"'startups', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,23 May 20,~13.1k,5-10,'RestCase',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",130,9,Undisclosed,https://www.restcase.com?ref=startuptracker,'API design first platform for developing REST and Async APIs','RestCase',December 31 2018,Delaware US,https://crunchbase.com/organization/restcase-inc,360.8k
"'hr and recruitment', 'startups', 'ai', 'software dev'",'desktop app',Pre,Low company activity detected,18 May 20,~3.7k,11-50,'Starkflow',Pre,"'b2b', 'commission', 'subscription'",5,9,Self,https://www.starkflow.co/?ref=startuptracker,'Starkflow builds high performing remote teams for you.','Starkflow',March 2 2018,New York US,https://startuptracker.io,1.3m
"'data', 'productivity', 'bots'","'mobile app', 'web app'",Privately,High company activity detected,16 May 20,~61.8k,11-50,"'Martin Welker', 'Peter Oehler', 'Lookeen Desktop Search'",Pre,"'b2c', 'b2b', 'non profit', 'free to use'",1.7k,9,Self,https://www.zenkit.com?ref=startuptracker,'Organize your project','Zenkit',May 21 2016,Wilmington US,https://www.crunchbase.com/organization/zenkit,77.6k
'other','web app',Publicly,High company activity detected,15 May 20,~76.4k,11-50,'Waitwhile',Pre,"'b2b', 'freemium'",137,9,Undisclosed,https://waitwhile.com?ref=startuptracker,'Waitwhile is a smart waitlist and scheduling platform that helps 10000+ organizations bust their lines and create awesome wait experiences.','Waitwhile',December 31 2015,San Francisco US,https://www.crunchbase.com/organization/waitwhile,62.9k
"'advertising', 'e commerce', 'startups', 'accounting and legal'",'web app',Publicly,No recent company activity detected,13 May 20,~1.5k,5-10,"'Namesnack', 'Namesnack'",Pre,"'b2c', 'b2b', 'free to use'",237,9,Self,https://www.plansnack.com?ref=startuptracker,'100% free business planning software that increases your business startup success dramatically and takes less than 10 mins to complete.','PlanSnack',February 29 2020,San Francisco US,https://betalist.com/startups/plansnack,3.1m
"'gaming', 'social networks', 'startups'",'web app',Privately,No recent company activity detected,12 May 20,Undisclosed,3,,Pre,"'b2c', 'free to use'",9,9,Undisclosed,http://riotz.io?ref=startuptracker,'Web-app to play partygames like Werewolf over videochat with your friends and family.','Riotz',May 1 2020,Palo Alto US,https://startuptracker.io,0
"'finance', 'health', 'insurance', 'travel'","'other', 'service', 'web app'",Publicly,High company activity detected,11 May 20,~9.6k,11-50,'Sonraí Security',Post,"'b2b', 'sales', 'subscription'",1.5k,9,Undisclosed,https://sonraisecurity.com?ref=startuptracker,"'Sonrai Security delivers an enterprise security platform focused on identity and data governance inside AWS, Azure, GCP, and Kubernetes'",'Sonrai Security',October 1 2017,New York US,https://www.crunchbase.com/organization/sonrai-security,493.9k
"'productivity', 'startups', 'software dev'",'web app',Publicly,No recent company activity detected,11 May 20,~110.8k,5-10,"'KeepSolid Goals', 'KeepSolid Inc.', 'Vasiliy Ivanov'",Pre,"'b2c', 'b2b', 'free to use', 'freemium', 'sales', 'subscription'",1.3k,9,Undisclosed,https://keepsolid.com/goals/?ref=startuptracker,"'Plan, track, stay aligned and achieve business objectives with your team'",'KeepSolid Goals',August 19 2019,NY US,https://crunchbase.com/organization/goals-by-keepsolid,43.5k
"'consulting', 'productivity', 'startups', 'sales'",'mobile app',Privately,Low company activity detected,4 May 20,~3.4k,5-10,,Pre,"'b2c', 'b2b', 'freemium'",See,9,Undisclosed,http://www.getonekey.io/?ref=startuptracker,"'OneKey: 1 Keyboard with all your Productivity Apps Schedule 📆, add ✅, take 📝, CRM 👥, directly from your messaging apps 💬✉️ !'",'OneKey',November 4 2019,Delaware US,https://angel.co/company,1.4m
"'e commerce', 'startups', 'ai'",'web app',Publicly,No recent company activity detected,2 May 20,~100.8k,1,"'Namesnack', 'PlanSnack'",Post,"'b2c', 'b2b', 'free to use'",237,9,Self,https://www.namesnack.com?ref=startuptracker,"'Business name generator and domain search in one. Find creative and available domains for your startup, shop, or new business.'",'Namesnack',February 29 2020,Austin US,https://betalist.com/startups/namesnack,47.7k
"'communication', 'productivity', 'startups'","'desktop app', 'mobile app', 'web app'",Privately,No recent company activity detected,2 May 20,~652,3,'Chaine',Post,"'b2b', 'subscription'",7,9,Self,https://www.getchaine.com/?ref=startuptracker,"'Chaine is a productivity tool that helps logistics teams eliminate wasteful tasks, reduce operating costs, and get scaling superpowers.'",'Chaine',November 11 2019,San Francisco US,https://crunchbase.com/organization/chaine,7.1m
'finance','service',Publicly,High company activity detected,1 May 20,~140.1k,5-10,'Polygon.io',Pre,"'b2c', 'b2b', 'free to use'",419,9,Undisclosed,https://polygon.io?ref=startuptracker,"'Financial data platform, by developers, for developers.'",'Polygon.io',January 3 2017,Atlanta US,https://www.crunchbase.com/organization/polygon-io,34.5k
'design','service',Publicly,High company activity detected,1 May 20,~26.5k,5-10,'Brandly',Pre,"'b2b', 'other'",6,9,$1,https://www.brandly.com?ref=startuptracker,"'Business cards for large teams, made simple'",'Brandly',February 3 2017,Woodside US,https://angel.co/brandly-1,179.7k
'productivity',"'mobile app', 'service', 'web app'",Publicly,Sourced by Startup Tracker,29 Apr 20,~1.5k,5-10,"'Gignav', 'Om Soni'",Pre,"'b2c', 'b2b', 'free to use', 'commission', 'subscription'",11,9,Undisclosed,http://www.gignav.com?ref=startuptracker,'Future of Work SaaS','Gignav',April 10 2019,Detroit US,https://crunchbase.com/organization/gignav-inc,3m
"'advertising', 'analytics', 'e commerce'",'web app',Publicly,No recent company activity detected,27 Apr 20,0,5-10,"'Inleven App', 'Alberto Sustiel,'",Pre,"'b2c', 'b2b', 'subscription'",257,9,Undisclosed,https://inleven.com/?ref=startuptracker,"'A new and better way to shorten, track and share links with your team.'",'Inleven',September 2 2019,Bonita US,https://www.crunchbase.com/organization/inleven,0
'hr and recruitment','web app',Publicly,High company activity detected,22 Apr 20,~20.2k,2,'DailyRemote',Pre,"'b2c', 'b2b', 'free to use', 'sales'",5.3k,9,Undisclosed,https://dailyremote.com?ref=startuptracker,"'We help people find a remote job at over 2,000+ remote companies in Software Development, Design, Support, Sales etc.'",'DailyRemote',July 31 2019,new york US,https://startuptracker.io,235.5k
"'startups', 'software dev'",'service',Publicly,High company activity detected,21 Apr 20,~30.1k,11-50,"'Russell Smith \U0001f9e2', 'Fred Stevens-Smith'",Post,"'b2b', 'freemium', 'sales', 'subscription'",2.4k,9,$41.2m,https://www.rainforestqa.com/?ref=startuptracker,'A flexible software testing platform.','Rainforest QA',January 1 2012,San Francisco US,https://www.crunchbase.com/organization/rainforest,158.2k
"'communication', 'real estate'","'mobile app', 'web app'",Pre,Low company activity detected,21 Apr 20,0,3,'James Peel',Pre,"'b2c', 'freemium'",10,9,Undisclosed,https://www.tanebuild.com/?ref=startuptracker,'Tāne is your home construction project assistant','Tāne',January 1 2020,San Francisco US,https://crunchbase.com/organization/t%C4%81ne,0
"'consulting', 'health', 'media', 'medical'",'service',Publicly,High company activity detected,17 Apr 20,~3k,2,"'Kristen Ruby', 'RubyMediaGroup®'",Pre,"'b2c', 'b2b', 'other'",901,9,Undisclosed,https://rubymediagroup.com?ref=startuptracker,'PR Consulting Agency that helps Founders get Business Press through personal branding and thought leadership marketing.','Ruby Media Group Inc.',June 1 2009,New York US,https://crunchbase.com/organization/ruby-media-group,1.6m
"'entertainment', 'media', 'social networks', 'content'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,16 Apr 20,~5.7k,3,'Bookshlf',Pre,"'b2c', 'advertising', 'subscription'",510,9,Undisclosed,https://bookshlf.com/?ref=startuptracker,"'A dedicated space to help people\xa0organize,\xa0curate\xa0and\xa0discover\xa0their favorite digital content'",'Bookshlf',March 19 2019,New York US,https://crunchbase.com/organization/bookshlf,819.6k
"'other', 'advertising', 'marketing'",'service',Publicly,No recent company activity detected,16 Apr 20,0,5-10,'PostPanda',Pre,"'b2b', 'subscription'",42,9,Undisclosed,https://postpanda.co/?ref=startuptracker,'Top quality social media content that fits every budget','Post Panda',August 28 2019,Virginia US,https://startuptracker.io,0
"'design', 'e commerce', 'media', 'software dev'",'web app',Publicly,High company activity detected,13 Apr 20,~40.5k,11-50,"'Vladimir Lugovsky', 'Konstantin Danovsky'",Pre,"'b2c', 'b2b', 'subscription'",640,9,Undisclosed,https://uibakery.io/?ref=startuptracker,'UI Bakery – the first low-code platform which allows creating branded frontend apps based on a custom Design System','UI Bakery',October 31 2018,Denver US,https://www.crunchbase.com/organization/ui-bakery,118.1k
"'productivity', 'real estate'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,10 Apr 20,~1.2k,1,'HomeFlow',Pre,"'b2c', 'commission', 'advertising'",139,9,Self,https://tryhomeflow.com?ref=startuptracker,"'We help home buyers save time, be more confident, and manage their whole home buying experience.'",'HomeFlow',December 1 2019,New York US,https://startuptracker.io,3.9m
"'advertising', 'data', 'marketing', 'sales', 'productivity'","'service', 'web app'",Publicly,No recent company activity detected,9 Apr 20,~10.9k,11-50,'CloudLead.co',Post,"'b2b', 'sales', 'subscription'",1.1k,9,Undisclosed,http://www.cloudlead.co?ref=startuptracker,'CloudLead uses machine learning tools backed by human researchers to help B2B sales and marketing teams scale their outbound processes.','Cloudlead',February 29 2016,"San Mateo, CA US",https://www.crunchbase.com/organization/cloudlead,432.9k
"'consulting', 'productivity', 'hr and recruitment', 'startups'","'desktop app', 'service', 'web app'",Publicly,No recent company activity detected,8 Apr 20,0,5-10,'Avvnue Inc',Pre,"'b2b', 'freemium', 'subscription'",138,9,Undisclosed,https://www.avvnue.com?ref=startuptracker,'Avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace','Avvnue',June 5 2019,Houston US,https://www.crunchbase.com/organization/avvnue-inc,0
"'e commerce', 'marketing'",'web app',Publicly,Low company activity detected,2 Apr 20,~146.6k,51-100,'FindNiche',Pre,"'b2c', 'b2b', 'free to use'",50,9,Undisclosed,https://findniche.com/?ref=startuptracker,'Free tool for winning products','FindNiche',October 31 2019,San Francisco US,https://www.producthunt.com/posts/findniche?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,32.9k
'startups','service',Publicly,Low company activity detected,29 Mar 20,0,5-10,'WorcLab',Pre,"'b2b', 'free to use'",596,9,Undisclosed,https://worclab.org?ref=startuptracker,'Incubator and coworking space','WorcLab',March 3 2010,Worcester US,https://crunchbase.com/organization/worclab,0
'finance','web app',Publicly,No recent company activity detected,19 Mar 20,~4.1k,5-10,'Pigly',Pre,"'b2c', 'free to use'",90,9,Undisclosed,https://pigly.com?ref=startuptracker,'Solve Your Personal Finances Today','Pigly',September 9 2019,San Francisco US,https://www.crunchbase.com/organization/pigly,1.1m
"'other', 'marketing', 'startups', 'software dev'",'web app',Privately,No recent company activity detected,19 Mar 20,11,1,'Cereo',Pre,"'b2b', 'freemium', 'subscription'",11,9,Self,https://cereo.io?ref=startuptracker,'Cereo is a visual feedback and bug tracking tool that lets people give feedback with annotated screenshots and enriched browser data','Cereo',February 28 2020,California US,https://startuptracker.io,0
